Category: All categories,,,,
,,,,
Week,usc football: (Worldwide),NORMALISED,,
7/13/2014,12,10.7364,,
7/20/2014,13,11.6311,,
7/27/2014,14,12.5258,,
8/3/2014,17,15.2099,,
8/10/2014,19,16.9993,,
8/17/2014,23,20.5781,,
8/24/2014,78,69.7866,,
8/31/2014,83,74.2601,,
9/7/2014,68,60.8396,,
9/14/2014,68,60.8396,,
9/21/2014,54,48.3138,,
9/28/2014,74,66.2078,,
10/5/2014,62,55.4714,,
10/12/2014,70,62.629,,
10/19/2014,47,42.0509,,
10/26/2014,59,52.7873,,
11/2/2014,43,38.4721,,
11/9/2014,58,51.8926,,
11/16/2014,50,44.735,,
11/23/2014,70,62.629,,
11/30/2014,28,25.0516,,
12/7/2014,17,15.2099,,
12/14/2014,11,9.8417,,
12/21/2014,19,16.9993,,
12/28/2014,44,39.3668,,
1/4/2015,12,10.7364,,
1/11/2015,13,11.6311,,
1/18/2015,10,8.947,,
1/25/2015,9,8.0523,,
2/1/2015,20,17.894,,
2/8/2015,9,8.0523,,
2/15/2015,7,6.2629,,
2/22/2015,7,6.2629,,
3/1/2015,7,6.2629,,
3/8/2015,7,6.2629,,
3/15/2015,6,5.3682,,
3/22/2015,7,6.2629,,
3/29/2015,7,6.2629,,
4/5/2015,8,7.1576,,
4/12/2015,7,6.2629,,
4/19/2015,7,6.2629,,
4/26/2015,8,7.1576,,
5/3/2015,7,6.2629,,
5/10/2015,7,6.2629,,
5/17/2015,7,6.2629,,
5/24/2015,6,5.3682,,
5/31/2015,7,6.2629,,
6/7/2015,7,6.2629,,
6/14/2015,7,6.2629,,
6/21/2015,8,7.1576,,
6/28/2015,8,7.1576,,
7/5/2015,9,8.0523,,
7/12/2015,10,8.947,,
7/19/2015,12,10.7364,,
7/26/2015,13,11.6311,,
8/2/2015,17,15.2099,,
8/9/2015,18,16.1046,,
8/16/2015,22,19.6834,,
8/23/2015,34,30.4198,,
8/30/2015,67,59.9449,,
9/6/2015,97,86.7859,,
9/13/2015,80,71.576,,
9/20/2015,82,73.3654,,
9/27/2015,71,63.5237,,
10/4/2015,83,74.2601,,
10/11/2015,94,84.1018,,
10/18/2015,78,69.7866,,
10/25/2015,84,75.1548,,
11/1/2015,51,45.6297,,
11/8/2015,86,76.9442,,
11/15/2015,56,50.1032,,
11/22/2015,67,59.9449,,
11/29/2015,57,50.9979,,
12/6/2015,50,44.735,,
12/13/2015,16,14.3152,,
12/20/2015,16,14.3152,,
12/27/2015,58,51.8926,,
1/3/2016,15,13.4205,,
1/10/2016,15,13.4205,,
1/17/2016,13,11.6311,,
1/24/2016,11,9.8417,,
1/31/2016,17,15.2099,,
2/7/2016,9,8.0523,,
2/14/2016,7,6.2629,,
2/21/2016,7,6.2629,,
2/28/2016,7,6.2629,,
3/6/2016,7,6.2629,,
3/13/2016,7,6.2629,,
3/20/2016,7,6.2629,,
3/27/2016,7,6.2629,,
4/3/2016,8,7.1576,,
4/10/2016,9,8.0523,,
4/17/2016,9,8.0523,,
4/24/2016,8,7.1576,,
5/1/2016,8,7.1576,,
5/8/2016,7,6.2629,,
5/15/2016,7,6.2629,,
5/22/2016,8,7.1576,,
5/29/2016,7,6.2629,,
6/5/2016,8,7.1576,,
6/12/2016,8,7.1576,,
6/19/2016,8,7.1576,,
6/26/2016,8,7.1576,,
7/3/2016,9,8.0523,,
7/10/2016,11,9.8417,,
7/17/2016,12,10.7364,,
7/24/2016,13,11.6311,,
7/31/2016,16,14.3152,,
