ADDRESS,METERID,LIMIT,the_geom,TYPE,HOURS
100 N AVENUE 59,HP150,2HR,POINT (-118.19127768184715 34.11110554361155),SSM,8A-8P Mon-Sat
100 N AVENUE 55,HP230A,2HR,POINT (-118.19579741826806 34.10852227046102),SSM,8A-8P Mon-Sat
5701 N FIGUEROA ST,HP184,1HR,POINT (-118.19249827927233 34.10986231361978),SSM,8A-8P Mon-Sat
5701 N FIGUEROA ST,HP182,1HR,POINT (-118.19234772814268 34.109937414672665),SSM,8A-8P Mon-Sat
5701 N FIGUEROA ST,HP181,1HR,POINT (-118.19228751784539 34.10996737911613),SSM,8A-8P Mon-Sat
5701 N FIGUEROA ST,HP183,1HR,POINT (-118.1924179838271 34.109903361087625),SSM,8A-8P Mon-Sat
5601 N FIGUEROA ST,HP198,1HR,POINT (-118.1934928421446 34.10937296003018),SSM,8A-8P Mon-Sat
6001 N FIGUEROA ST,HP120,1HR,POINT (-118.18873245604648 34.11170815026709),SSM,8A-8P Mon-Sat
6001 N FIGUEROA ST,HP119,1HR,POINT (-118.18866751200325 34.11173999728471),SSM,8A-8P Mon-Sat
6001 N FIGUEROA ST,HP122,1HR,POINT (-118.18932956617982 34.111416160597365),SSM,8A-8P Mon-Sat
6001 N FIGUEROA ST,HP124,1HR,POINT (-118.18945214957756 34.11135652784496),SSM,8A-8P Mon-Sat
6001 N FIGUEROA ST,HP121,1HR,POINT (-118.18879491160409 34.11167731952143),SSM,8A-8P Mon-Sat
6001 N FIGUEROA ST,HP123,1HR,POINT (-118.18939819193993 34.111383023673255),SSM,8A-8P Mon-Sat
101 N AVENUE 57,HP187,2HR,POINT (-118.19298315822661 34.10985293424503),SSM,8A-8P Mon-Sat
101 S AVENUE 59,HP75,2HR,POINT (-118.19068780103918 34.11017034235559),SSM,8A-8P Mon-Sat
100 S AVENUE 56,HP33,2HR,POINT (-118.19385160940301 34.10874290187984),SSM,8A-8P Mon-Sat
3700 S CARDIFF AVE,PM66,1HR,POINT (-118.39615684162732 34.02523091569821),SSM,8A-8P Mon-Sat
3700 S CARDIFF AVE,PM67,1HR,POINT (-118.39618992686468 34.0252747171876),SSM,8A-8P Mon-Sat
12301 W VENICE BLVD,MV74,2HR,POINT (-118.43341446414074 34.00393526516877),SSM,8A-8P Mon-Sat
12301 W VENICE BLVD,MV66,2HR,POINT (-118.43277952845015 34.00425849755411),SSM,8A-8P Mon-Sat
12301 W VENICE BLVD,MV72,2HR,POINT (-118.4332845134611 34.004000144510655),SSM,8A-8P Mon-Sat
12301 W VENICE BLVD,MV65,2HR,POINT (-118.43272541612795 34.004286157690466),SSM,8A-8P Mon-Sat
12301 W VENICE BLVD,MV68,2HR,POINT (-118.43290276813885 34.00419647724974),SSM,8A-8P Mon-Sat
12301 W VENICE BLVD,MV67,2HR,POINT (-118.43285267858634 34.0042206115423),SSM,8A-8P Mon-Sat
12301 W VENICE BLVD,MV71,2HR,POINT (-118.43323611077228 34.004025349337645),SSM,8A-8P Mon-Sat
12301 W VENICE BLVD,MV73,2HR,POINT (-118.43335908073117 34.00396300498202),SSM,8A-8P Mon-Sat
23001 W VENTURA BLVD,WH388,2HR,POINT (-118.62794807247042 34.164436169912946),SSM,8A-8P Mon-Sat
5401 N FARRALONE AVE,WH749,2HR,POINT (-118.61027873953311 34.169086634116105),SSM,8A-8P Mon-Sat
5401 N FARRALONE AVE,WH748,2HR,POINT (-118.61028070409746 34.169220017104884),SSM,8A-8P Mon-Sat
5401 N FARRALONE AVE,WH747,2HR,POINT (-118.61027908759336 34.16927178488273),SSM,8A-8P Mon-Sat
5401 N FARRALONE AVE,WH746,2HR,POINT (-118.61028077877474 34.1693462098766),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH209,2HR,POINT (-118.60752335731641 34.16867556306251),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH205,2HR,POINT (-118.60722186969863 34.168667430767194),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH203,2HR,POINT (-118.60706857022139 34.16866376934044),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH201,2HR,POINT (-118.60669795072361 34.168653535069005),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH201A,2HR,POINT (-118.60676098573994 34.16865350820005),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH207,2HR,POINT (-118.60737322406735 34.16867312754515),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH212,2HR,POINT (-118.6077655740491 34.168682142534195),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH202,2HR,POINT (-118.60701014146245 34.16866228389265),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH210,2HR,POINT (-118.60761121206524 34.16867854753875),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH204,2HR,POINT (-118.60715832825488 34.168666128834275),SSM,8A-8P Mon-Sat
22001 W VENTURA BLVD,WH206,2HR,POINT (-118.60731490440092 34.168670984468974),SSM,8A-8P Mon-Sat
